UserID;FullName;DateOfBirth;Sex
"0076";"Gerald Eisenhower";"1984-10-04";"Male"
"0077";"Richard Grant";"1989-07-20";"Male"
"0078";"Jimmy Nixon";"1970-05-21";"Male"
"0079";"Rutherford Kennedy";"1985-08-08";"Female"
"0080";"Ulysses Madison";"1970-12-26";"Male"
"0081";"Herbert Adams";"1980-04-03";"Female"
"0082";"Herbert Tyler";"1978-08-08";"Male"
"0083";"Andrew McKinley";"1985-08-24";"Female"
"0084";"Franklin Roosevelt";"1981-08-05";"Male"
"0085";"Grover Johnson";"1977-07-25";"Female"
"0086";"Grover Hoover";"1986-06-08";"Female"
"0087";"Martin Monroe";"1983-02-27";"Female"
"0088";"Dwight Buchanan";"1986-01-14";"Male"
"0089";"Dwight Hayes";"1979-01-25";"Female"
"0090";"Jimmy Lincoln";"1990-04-29";"Male"
"0091";"James Harrison";"1972-10-04";"Male"
"0092";"James Johnson";"1983-05-21";"Female"
"0093";"Jimmy Jackson";"1978-05-28";"Female"
"0094";"Bill Monroe";"1984-12-16";"Female"
"0095";"Harry Truman";"1973-06-13";"Female"
"0096";"Rutherford Eisenhower";"1988-10-27";"Male"
"0097";"Andrew Taft";"1972-11-10";"Male"
"0098";"Ronald Clinton";"1972-08-08";"Male"
"0099";"William Garfield";"1971-09-13";"Male"
"0100";"Millard Carter";"1987-12-31";"Female"
"0101";"James Washington";"1990-03-13";"Male"
"0102";"Jimmy Garfield";"1985-12-28";"Female"
"0103";"Harry Adams";"1985-06-06";"Male"
"0104";"Grover Roosevelt";"1987-07-27";"Female"
"0105";"Bill Harrison";"1970-01-15";"Female"
"0106";"Bill Van Buren";"1974-02-28";"Male"
"0107";"Ulysses Grant";"1985-07-04";"Female"
"0108";"John Harrison";"1983-05-10";"Female"
"0109";"Gerald Monroe";"1972-08-23";"Male"
"0110";"Chester Cleveland";"1976-01-21";"Male"
"0111";"Grover Hayes";"1978-05-28";"Male"
"0112";"Warren Wilson";"1975-06-23";"Male"
"0113";"Martin Buchanan";"1988-10-02";"Female"
"0114";"John Taft";"1981-07-31";"Female"
"0115";"Martin Jefferson";"1987-05-24";"Female"
"0116";"Millard Cleveland";"1990-09-05";"Female"
"0117";"Andrew Coolidge";"1976-12-04";"Male"
"0118";"Martin Hoover";"1970-11-26";"Male"
"0119";"William Harrison";"1985-12-05";"Female"
"0120";"Woodrow Harrison";"1971-12-17";"Female"
"0121";"Ronald Carter";"1976-11-18";"Female"
"0122";"Andrew Harrison";"1987-06-03";"Male"
"0123";"Gerald Taft";"1985-11-12";"Female"
"0124";"Zachary Garfield";"1973-01-14";"Female"
"0125";"Ronald Reagan";"1989-08-22";"Male"
"0126";"John Hoover";"1984-11-26";"Female"
"0127";"Martin Nixon";"1981-10-26";"Female"
"0128";"Benjamin Cleveland";"1978-02-23";"Male"
"0129";"Ulysses Truman";"1987-06-02";"Male"
"0130";"Martin Jefferson";"1972-08-06";"Male"
"0131";"Martin Van Buren";"1981-04-19";"Female"
"0132";"Franklin Jefferson";"1970-10-23";"Female"
"0133";"Grover Pierce";"1986-11-24";"Female"
"0134";"Dwight Hayes";"1976-01-20";"Female"
"0135";"Bill Clinton";"1976-02-26";"Male"
"0136";"George Van Buren";"1979-10-31";"Female"
"0137";"Benjamin Grant";"1974-02-19";"Male"
"0138";"Andrew Roosevelt";"1979-07-30";"Male"
"0139";"Millard Adams";"1988-07-05";"Female"
"0140";"Millard Buchanan";"1970-01-19";"Male"
"0141";"Richard Tyler";"1986-01-15";"Male"
"0142";"Lyndon Van Buren";"1987-11-03";"Female"
"0143";"Andrew Carter";"1972-08-30";"Female"
"0144";"George Clinton";"1989-07-03";"Female"
"0145";"Thomas McKinley";"1984-08-02";"Male"
"0146";"Benjamin Adams";"1975-04-24";"Male"
"0147";"Thomas Madison";"1990-04-12";"Female"
"0148";"John Harrison";"1980-11-26";"Female"
"0149";"Lyndon Monroe";"1971-10-04";"Male"
"0150";"Franklin Adams";"1979-06-28";"Male"
"0151";"William Adams";"1990-11-28";"Male"
"0152";"Zachary Harrison";"1977-04-05";"Female"
"0153";"Harry Cleveland";"1978-10-11";"Female"
"0154";"Rutherford Taylor";"1984-12-11";"Male"
"0155";"Harry Pierce";"1985-12-10";"Male"
"0156";"Harry Kennedy";"1989-06-24";"Female"
"0157";"Woodrow Jackson";"1977-06-14";"Female"
"0158";"Franklin Taft";"1975-04-07";"Male"
"0159";"Benjamin Adams";"1984-02-23";"Female"
"0160";"Benjamin Polk";"1986-08-02";"Female"
"0161";"James Wilson";"1977-01-29";"Male"
"0162";"Richard Roosevelt";"1974-10-02";"Male"
"0163";"Chester Washington";"1989-06-11";"Female"
"0164";"Abraham Harrison";"1976-11-29";"Male"
"0165";"James Van Buren";"1978-03-11";"Female"
"0166";"Chester Garfield";"1971-11-21";"Female"
"0167";"William Fillmore";"1971-09-27";"Female"
"0168";"Chester Polk";"1980-05-20";"Male"
"0169";"Chester Clinton";"1986-04-03";"Female"
"0170";"George Eisenhower";"1975-10-25";"Male"
"0171";"Millard Arthur";"1983-07-11";"Male"
"0172";"John Clinton";"1973-06-15";"Male"
"0173";"Gerald Taft";"1970-07-21";"Female"
"0174";"Andrew Quincy";"1972-04-05";"Female"
"0175";"Richard Johnson";"1975-07-22";"Female"
"0176";"Franklin Polk";"1975-09-29";"Male"
"0177";"Calvin Roosevelt";"1976-08-17";"Female"
"0178";"Grover Garfield";"1979-05-26";"Male"
"0179";"Warren Fillmore";"1988-11-24";"Male"
"0180";"Calvin Hayes";"1973-11-20";"Female"
"0181";"Harry Buchanan";"1990-03-13";"Male"
"0182";"Jimmy Arthur";"1972-12-24";"Male"
"0183";"Gerald Tyler";"1984-10-01";"Female"
"0184";"Chester Grant";"1981-04-09";"Female"
"0185";"Chester Buchanan";"1978-10-07";"Male"
"0186";"Woodrow Buchanan";"1980-02-01";"Male"
"0187";"George Harding";"1971-08-09";"Male"
"0188";"Grover Hoover";"1986-07-23";"Male"
"0189";"Chester Fillmore";"1970-01-29";"Male"
"0190";"Bill Garfield";"1990-06-07";"Male"
"0191";"John Kennedy";"1989-10-06";"Male"
"0192";"Chester Wilson";"1970-01-20";"Male"
"0193";"Harry Lincoln";"1974-03-30";"Female"
"0194";"Thomas Jackson";"1981-01-13";"Male"
"0195";"John Ford";"1988-11-12";"Female"
"0196";"Calvin Tyler";"1989-10-22";"Male"
"0197";"Theodore Johnson";"1977-06-13";"Male"
"0198";"Chester Adams";"1984-05-21";"Female"
"0199";"James Harding";"1984-06-29";"Female"
"0200";"Gerald Arthur";"1979-07-04";"Female"
"0201";"John Roosevelt";"1974-04-25";"Male"
"0202";"Lyndon Cleveland";"1970-01-01";"Female"
"0203";"Woodrow Madison";"1971-03-18";"Male"
"0204";"James Pierce";"1973-08-30";"Female"
"0205";"Franklin Adams";"1987-03-24";"Female"
"0206";"Harry Polk";"1984-05-19";"Female"
"0207";"Zachary Eisenhower";"1987-12-31";"Male"
"0208";"Rutherford Adams";"1972-09-21";"Female"
"0209";"Andrew Fillmore";"1971-08-03";"Male"
"0210";"Bill Fillmore";"1984-12-10";"Female"
"0211";"Benjamin Johnson";"1971-08-05";"Female"
"0212";"Thomas Adams";"1976-12-28";"Female"
"0213";"Martin Reagan";"1971-04-27";"Female"
"0214";"Ronald Roosevelt";"1973-05-18";"Female"
"0215";"Millard Hoover";"1974-03-08";"Male"
"0216";"Harry Buchanan";"1983-01-16";"Female"
"0217";"Harry Kennedy";"1980-01-11";"Male"
"0218";"William McKinley";"1973-05-22";"Male"
"0219";"Calvin Johnson";"1974-11-02";"Male"
"0220";"Bill Eisenhower";"1972-07-22";"Female"
"0221";"Calvin Buchanan";"1975-12-05";"Male"
"0222";"Lyndon Madison";"1970-05-16";"Male"
"0223";"Millard Harrison";"1981-04-03";"Male"
"0224";"Martin Nixon";"1976-12-25";"Male"
"0225";"Grover Fillmore";"1984-11-13";"Female"
"0226";"Richard Adams";"1973-11-07";"Female"
"0227";"Harry Harrison";"1982-08-17";"Female"
"0228";"Ronald Harrison";"1982-08-11";"Female"
"0229";"Theodore Hoover";"1990-01-14";"Male"
"0230";"Calvin Buchanan";"1982-01-21";"Female"
"0231";"John Jefferson";"1984-12-21";"Female"
"0232";"Theodore Harrison";"1988-10-04";"Female"
"0233";"George Van Buren";"1986-04-08";"Male"
"0234";"Theodore Kennedy";"1976-12-23";"Female"
"0235";"Gerald Fillmore";"1981-10-27";"Male"
"0236";"James Nixon";"1972-12-27";"Male"
"0237";"Dwight Harding";"1980-07-07";"Female"
"0238";"Grover Nixon";"1981-08-28";"Male"
"0239";"Thomas Roosevelt";"1985-12-20";"Male"
"0240";"Martin Washington";"1971-12-24";"Male"
"0241";"Millard Hayes";"1989-10-09";"Male"
"0242";"Chester Hoover";"1984-03-26";"Female"
"0243";"Zachary Washington";"1975-11-28";"Female"
"0244";"Harry Buchanan";"1981-11-09";"Male"
"0245";"Grover Garfield";"1970-07-14";"Female"
"0246";"Martin Polk";"1973-07-01";"Male"
"0247";"Lyndon Ford";"1989-08-20";"Female"
"0248";"Woodrow Washington";"1974-04-19";"Female"
"0249";"John Madison";"1990-12-23";"Female"
"0250";"James Taylor";"1989-04-11";"Male"
"0251";"George Washington";"1970-10-12";"Female"
"0252";"William Taft";"1978-07-21";"Male"
"0253";"Martin Quincy";"1980-04-24";"Male"
"0254";"Franklin Arthur";"1976-01-10";"Male"
"0255";"George Buchanan";"1982-05-18";"Female"
"0256";"Ulysses Pierce";"1986-02-11";"Male"
"0257";"Theodore Grant";"1985-11-17";"Male"
"0258";"Millard Washington";"1990-05-16";"Female"
"0259";"William Coolidge";"1979-03-15";"Male"
"0260";"Benjamin Pierce";"1982-03-10";"Male"
"0261";"Grover Jackson";"1990-05-07";"Female"
"0262";"Theodore Quincy";"1971-04-07";"Male"
"0263";"Harry Monroe";"1971-03-22";"Female"
"0264";"Zachary Jackson";"1974-07-31";"Male"
"0265";"Martin Reagan";"1980-10-29";"Female"
"0266";"Bill Johnson";"1979-06-17";"Male"
"0267";"Bill Monroe";"1987-08-22";"Female"
"0268";"Andrew Kennedy";"1987-12-09";"Male"
"0269";"Woodrow Adams";"1987-08-04";"Male"
"0270";"Woodrow McKinley";"1978-12-15";"Male"
"0271";"Calvin Eisenhower";"1970-01-27";"Male"
"0272";"Harry Roosevelt";"1989-06-11";"Male"
"0273";"George Clinton";"1981-02-15";"Male"
"0274";"Ronald Hoover";"1984-09-24";"Female"
"0275";"Dwight Fillmore";"1981-05-05";"Female"
"0276";"Andrew Washington";"1989-03-14";"Female"
"0277";"Ulysses Arthur";"1971-04-15";"Female"
"0278";"Zachary Tyler";"1977-11-16";"Male"
"0279";"Benjamin Truman";"1989-02-19";"Male"
"0280";"Lyndon Washington";"1980-08-18";"Female"
"0281";"James Pierce";"1984-08-10";"Male"
"0282";"Franklin Carter";"1975-11-07";"Female"
"0283";"Martin Polk";"1981-10-06";"Female"
"0284";"William Polk";"1990-01-15";"Male"
"0285";"Ulysses Buchanan";"1989-06-07";"Male"
"0286";"Gerald Adams";"1990-01-06";"Female"
"0287";"Theodore Harding";"1984-04-10";"Male"
"0288";"James Hoover";"1980-06-26";"Male"
"0289";"Harry Buchanan";"1990-10-16";"Female"
"0290";"William Taft";"1971-02-22";"Female"
"0291";"Harry Roosevelt";"1971-11-04";"Male"
"0292";"Theodore Adams";"1970-08-13";"Female"
"0293";"John Coolidge";"1988-02-08";"Female"
"0294";"Chester Wilson";"1976-09-20";"Female"
"0295";"Chester Nixon";"1980-04-07";"Female"
"0296";"James Polk";"1986-01-30";"Male"
"0297";"Warren Taft";"1978-06-01";"Female"
"0298";"Zachary Taft";"1977-06-05";"Female"
"0299";"James Wilson";"1988-08-16";"Female"
"0300";"Woodrow Arthur";"1983-06-14";"Female"
"0301";"Richard Hayes";"1974-12-28";"Female"
"0302";"Herbert Garfield";"1977-11-21";"Female"
"0303";"Benjamin Eisenhower";"1978-05-05";"Male"
"0304";"Dwight Carter";"1974-01-29";"Male"
"0305";"Herbert Cleveland";"1977-06-23";"Male"
"0306";"Harry Adams";"1986-04-10";"Female"
"0307";"Chester Quincy";"1975-04-20";"Male"
"0308";"Woodrow Van Buren";"1975-11-11";"Male"
"0309";"Grover Clinton";"1974-12-20";"Female"
"0310";"Jimmy Cleveland";"1985-11-09";"Female"
"0311";"Benjamin Harrison";"1977-06-05";"Male"
"0312";"Andrew Johnson";"1981-12-16";"Female"
"0313";"Theodore Washington";"1989-01-26";"Male"
"0314";"Bill Buchanan";"1982-11-22";"Female"
"0315";"Rutherford Madison";"1976-08-07";"Female"
"0316";"Andrew Coolidge";"1988-10-11";"Male"
"0317";"Franklin Eisenhower";"1974-08-17";"Male"
"0318";"Richard Clinton";"1974-08-04";"Female"
"0319";"Ulysses Hoover";"1981-11-28";"Female"
"0320";"Chester Pierce";"1984-09-11";"Male"
"0321";"Grover Pierce";"1973-08-17";"Male"
"0322";"Benjamin Hayes";"1970-12-01";"Female"
"0323";"Andrew Jackson";"1986-03-01";"Female"
"0324";"Millard Carter";"1980-10-24";"Male"
"0325";"William Fillmore";"1973-12-03";"Female"
"0326";"Rutherford Buchanan";"1985-04-04";"Male"
"0327";"Millard Harrison";"1978-11-25";"Female"
"0328";"Calvin Taft";"1973-02-27";"Female"
"0329";"Harry Taft";"1986-05-12";"Female"
"0330";"Zachary Roosevelt";"1979-10-15";"Female"
"0331";"Andrew Tyler";"1977-04-27";"Female"
"0332";"Grover Clinton";"1980-05-17";"Female"
"0333";"Ulysses Ford";"1974-06-19";"Female"
"0334";"Zachary Madison";"1985-05-15";"Male"
"0335";"Dwight Carter";"1978-05-01";"Female"
"0336";"William Roosevelt";"1973-10-05";"Male"
"0337";"Martin Harrison";"1977-01-24";"Male"
"0338";"William McKinley";"1984-07-19";"Female"
"0339";"Calvin Johnson";"1982-04-28";"Female"
"0340";"Thomas Carter";"1972-02-02";"Male"
"0341";"Richard Arthur";"1970-02-10";"Male"
"0342";"Martin Cleveland";"1979-12-28";"Female"
"0343";"James Adams";"1983-05-04";"Male"
"0344";"Lyndon Nixon";"1985-03-21";"Female"
"0345";"John Roosevelt";"1973-07-02";"Male"
"0346";"Martin Eisenhower";"1988-02-28";"Male"
"0347";"Zachary Reagan";"1985-02-09";"Female"
"0348";"George Roosevelt";"1978-11-20";"Female"
"0349";"Calvin Grant";"1989-11-01";"Female"
"0350";"Thomas Quincy";"1976-10-11";"Female"
"0351";"George Jefferson";"1973-10-01";"Male"
"0352";"Abraham Hoover";"1981-06-08";"Male"
"0353";"Dwight Truman";"1987-01-17";"Male"
"0354";"Jimmy Eisenhower";"1975-09-27";"Female"
"0355";"Jimmy Taft";"1986-01-03";"Female"
"0356";"Abraham Grant";"1987-06-30";"Female"
"0357";"Benjamin Hoover";"1975-02-03";"Male"
"0358";"Jimmy Hoover";"1978-10-20";"Female"
"0359";"George Ford";"1990-08-31";"Male"
"0360";"John McKinley";"1987-10-14";"Male"
"0361";"Thomas McKinley";"1971-05-21";"Female"
"0362";"Franklin Carter";"1980-04-13";"Male"
"0363";"Millard Harrison";"1972-01-08";"Male"
"0364";"Chester Roosevelt";"1979-03-14";"Male"
"0365";"George Johnson";"1972-02-07";"Female"
"0366";"Grover Washington";"1974-05-31";"Male"
"0367";"Andrew Adams";"1974-06-04";"Male"
"0368";"Jimmy Adams";"1970-06-03";"Female"
"0369";"Warren Truman";"1981-04-28";"Female"
"0370";"Andrew Madison";"1979-10-20";"Male"
"0371";"Millard Clinton";"1972-07-27";"Female"
"0372";"Andrew Harrison";"1976-02-02";"Male"
"0373";"Lyndon Fillmore";"1990-10-18";"Female"
"0374";"Dwight Tyler";"1982-08-22";"Male"
"0375";"Benjamin Jackson";"1979-06-08";"Female"
"0376";"Herbert Tyler";"1976-04-30";"Male"
"0377";"William Cleveland";"1970-02-10";"Male"
"0378";"Zachary Van Buren";"1980-11-29";"Female"
"0379";"William Truman";"1986-11-30";"Female"
"0380";"Chester Roosevelt";"1976-03-20";"Male"
"0381";"Benjamin McKinley";"1979-05-19";"Male"
"0382";"Jimmy Eisenhower";"1986-11-04";"Male"
"0383";"Grover Adams";"1987-09-22";"Male"
"0384";"Andrew Johnson";"1980-03-24";"Female"
"0385";"Martin Arthur";"1970-10-03";"Female"
"0386";"Lyndon Washington";"1977-04-19";"Female"
"0387";"Bill Johnson";"1973-07-13";"Male"
"0388";"Franklin Clinton";"1971-04-27";"Male"
"0389";"Gerald Washington";"1990-08-27";"Female"
"0390";"Herbert Hoover";"1972-08-14";"Female"
"0391";"Harry Monroe";"1976-02-13";"Male"
"0392";"Gerald Kennedy";"1970-08-11";"Female"
"0393";"John Wilson";"1984-04-09";"Female"
"0394";"Jimmy Taft";"1980-08-17";"Male"
"0395";"Dwight Cleveland";"1971-03-07";"Female"
"0396";"Theodore Tyler";"1973-01-12";"Male"
"0397";"Harry Harrison";"1970-09-05";"Female"
"0398";"Calvin Coolidge";"1976-03-16";"Female"
"0399";"Woodrow Polk";"1973-05-22";"Female"
"0400";"Richard Johnson";"1972-06-09";"Male"
"0401";"George Fillmore";"1973-11-21";"Female"
"0402";"Franklin Taft";"1990-10-22";"Male"
"0403";"William Quincy";"1985-07-11";"Male"
"0404";"John Washington";"1978-10-26";"Male"
"0405";"Thomas Fillmore";"1970-05-05";"Female"
"0406";"Ulysses Johnson";"1970-11-12";"Male"
"0407";"Benjamin Truman";"1974-11-20";"Male"
"0408";"Gerald Garfield";"1982-05-14";"Male"
"0409";"Richard Taylor";"1970-07-08";"Male"
"0410";"Chester Pierce";"1987-09-06";"Female"
"0411";"Rutherford Grant";"1973-06-21";"Female"
"0412";"Martin Pierce";"1981-12-12";"Female"
"0413";"George Quincy";"1989-11-27";"Male"
"0414";"Calvin Johnson";"1990-12-20";"Female"
"0415";"Woodrow Cleveland";"1986-05-29";"Female"
"0416";"Woodrow McKinley";"1986-06-16";"Female"
"0417";"Ronald Pierce";"1985-02-17";"Female"
"0418";"Millard Polk";"1989-07-07";"Male"
"0419";"Lyndon Johnson";"1989-07-17";"Female"
"0420";"Theodore Buchanan";"1988-04-18";"Female"
"0421";"John Ford";"1973-09-08";"Male"
"0422";"Franklin Cleveland";"1974-10-30";"Female"
"0423";"Richard Madison";"1970-04-28";"Male"
"0424";"Harry Quincy";"1983-10-06";"Male"
"0425";"Millard Monroe";"1974-11-13";"Male"
"0426";"Jimmy Garfield";"1976-12-06";"Male"
"0427";"George Jefferson";"1976-01-29";"Female"
"0428";"Ulysses Buchanan";"1986-11-05";"Female"
"0429";"Rutherford Roosevelt";"1973-04-18";"Female"
"0430";"Martin Harding";"1988-05-28";"Male"
"0431";"Calvin Carter";"1976-03-17";"Female"
"0432";"William Reagan";"1986-04-07";"Female"
"0433";"Richard Ford";"1988-11-13";"Female"
"0434";"Harry Van Buren";"1990-02-02";"Male"
"0435";"Abraham Johnson";"1985-12-28";"Female"
"0436";"Martin Ford";"1973-01-13";"Male"
"0437";"Calvin Taft";"1978-03-22";"Female"
"0438";"Warren Nixon";"1985-07-09";"Female"
"0439";"Richard Clinton";"1987-08-06";"Male"
"0440";"Millard Roosevelt";"1971-01-17";"Male"
"0441";"Dwight Quincy";"1974-04-30";"Male"
"0442";"Dwight Wilson";"1977-04-22";"Male"
"0443";"Martin Roosevelt";"1973-05-10";"Female"
"0444";"Thomas Reagan";"1982-06-14";"Female"
"0445";"Calvin Reagan";"1988-09-03";"Female"
"0446";"Ulysses Adams";"1987-03-10";"Female"
"0447";"Ronald Adams";"1987-06-18";"Male"
"0448";"George Harrison";"1975-08-19";"Female"
"0449";"Harry Wilson";"1988-02-25";"Female"
"0450";"Millard Garfield";"1986-05-18";"Female"
"0451";"Calvin Adams";"1972-02-17";"Female"
"0452";"Woodrow Reagan";"1971-07-01";"Male"
"0453";"Richard Pierce";"1986-11-11";"Female"
"0454";"Gerald Eisenhower";"1972-02-22";"Female"
"0455";"Woodrow Arthur";"1973-08-13";"Female"
"0456";"Richard Harrison";"1986-12-14";"Female"
"0457";"John Buchanan";"1990-04-01";"Female"
"0458";"George Lincoln";"1972-05-03";"Female"
"0459";"George Buchanan";"1976-09-24";"Male"
"0460";"Herbert Roosevelt";"1974-12-09";"Male"
"0461";"William Cleveland";"1972-03-20";"Male"
"0462";"Rutherford Harding";"1972-09-19";"Male"
"0463";"Abraham Hayes";"1975-02-26";"Female"
"0464";"Lyndon Jefferson";"1972-05-02";"Female"
"0465";"William Johnson";"1974-05-18";"Male"
"0466";"Andrew Adams";"1970-05-20";"Female"
"0467";"Lyndon Polk";"1977-04-18";"Female"
"0468";"Dwight Washington";"1988-07-29";"Female"
"0469";"Richard Adams";"1979-04-03";"Female"
"0470";"Gerald Taft";"1972-09-01";"Female"
"0471";"Warren Carter";"1979-08-04";"Female"
"0472";"John Arthur";"1986-05-22";"Male"
"0473";"Grover Garfield";"1979-12-21";"Female"
"0474";"Thomas Madison";"1981-03-18";"Male"
"0475";"George Johnson";"1977-10-22";"Male"
"0476";"Lyndon Ford";"1975-05-26";"Female"
"0477";"Gerald Jackson";"1980-12-31";"Male"
"0478";"Lyndon Jefferson";"1985-07-27";"Female"
"0479";"Herbert Polk";"1979-05-02";"Female"
"0480";"John Reagan";"1977-11-16";"Female"
"0481";"George Harrison";"1974-07-04";"Female"
"0482";"Jimmy Eisenhower";"1971-01-15";"Male"
"0483";"Lyndon Grant";"1977-06-27";"Male"
"0484";"Grover Buchanan";"1978-12-05";"Female"
"0485";"Woodrow Reagan";"1985-03-29";"Male"
"0486";"William Taft";"1983-11-08";"Male"
"0487";"Franklin Monroe";"1973-08-12";"Male"
"0488";"Ronald Johnson";"1975-10-11";"Female"
"0489";"Ronald Cleveland";"1979-03-21";"Male"
"0490";"William Polk";"1973-12-05";"Female"
"0491";"John Reagan";"1985-01-16";"Male"
"0492";"Harry Washington";"1975-09-07";"Male"
"0493";"Harry Roosevelt";"1985-01-03";"Male"
"0494";"Jimmy Kennedy";"1983-09-06";"Male"
"0495";"Martin Hayes";"1977-01-30";"Male"
"0496";"Dwight Johnson";"1974-03-03";"Female"
"0497";"Bill Jackson";"1976-04-14";"Female"
"0498";"Gerald Coolidge";"1974-05-01";"Female"
"0499";"Harry Polk";"1972-10-08";"Female"
"0500";"Gerald Carter";"1985-12-03";"Female"
"0501";"Jimmy Fillmore";"1976-01-05";"Female"
"0502";"Dwight Eisenhower";"1987-02-27";"Female"
"0503";"Martin Roosevelt";"1986-08-20";"Female"
"0504";"Jimmy Harding";"1974-09-15";"Female"
"0505";"George Taylor";"1980-10-13";"Female"
"0506";"George Buchanan";"1987-12-07";"Female"
"0507";"Woodrow McKinley";"1976-07-05";"Female"
"0508";"Richard Arthur";"1980-02-08";"Female"
"0509";"Rutherford Washington";"1986-01-07";"Male"
"0510";"Harry Roosevelt";"1971-08-25";"Male"
"0511";"Richard Fillmore";"1989-03-08";"Male"
"0512";"Richard Roosevelt";"1978-09-20";"Female"
"0513";"Franklin Jefferson";"1973-01-02";"Female"
"0514";"Gerald Nixon";"1987-02-23";"Male"
"0515";"Rutherford Harrison";"1986-01-05";"Male"
"0516";"John Monroe";"1984-09-22";"Female"
"0517";"Theodore Taft";"1982-05-04";"Male"
"0518";"Richard Nixon";"1974-02-06";"Female"
"0519";"Ulysses Ford";"1972-06-16";"Female"
"0520";"Andrew Hoover";"1978-04-16";"Female"
"0521";"Thomas Fillmore";"1979-12-24";"Male"
"0522";"Rutherford Roosevelt";"1973-11-20";"Female"
"0523";"Abraham Buchanan";"1989-03-25";"Male"
"0524";"Zachary Quincy";"1977-07-01";"Female"
"0525";"William Pierce";"1990-11-18";"Female"
"0526";"George Roosevelt";"1987-09-30";"Female"
"0527";"Lyndon Nixon";"1990-01-05";"Male"
